group_id,canonical_entity,raw_text
G007,GLOBAL METALS SA,GLOBAL METALS SA LOS ANGELES CA 90210
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD NEW YORK NY 10003
G018,PACIFIC TRUST INC,PACIFIC TRUST INC
G005,TYCHO FEEDER FUND INC,TYCHO FEEDER FUND INC ROAD TOWN TORTOLA VG
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD SINGAPORE SGP
G017,REDWOOD PARTNERS LLC,REDWOOD PA RTNERS LLC SINGAPORE SGP
G007,GLOBAL METALS SA,GLOBAL METALS SA SINGAPORE SGP
G019,EASTERN MERCHANTS PTE LTD,EA STERN MERCHA NTS PTE LTD LOS ANGELES CA 90210
G006,BANK OF CYPRUS,Bank Of Cyprus
G005,TYCHO FEEDER FUND INC,Tycho Feeder Fund Inc
G005,TYCHO FEEDER FUND INC,TYCHO FEEDER FUND INC SINGAPORE SGP
G001,ACME INVESTMENTS LTD,A CME INVESTMENTS LTD LONDON UNITED KINGDOM
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD
G008,NORTH SEA SHIPPING BV,North Sea Shipping Bv LOS ANGELES CA 90210
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD SINGAPORE SGP
G019,EASTERN MERCHANTS PTE LTD,EASTERN MERCHANTS PTE LTD SINGAPORE SGP
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD
G003,ACME TRADING LTD,A CME TRA DING LTD
G011,ALPHA TRUST FBO JANE DOE,ALPHA TRUST FBO JANE DOE LONDON UNITED KINGDOM
G012,JOHN DOE,JOHN DOE ROAD TOWN TORTOLA VG
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD
G005,TYCHO FEEDER FUND INC,Tycho Feeder Fund Inc NEW YORK NY 10003
G017,REDWOOD PARTNERS LLC,REDWOOD PARTNERS LLC
G001,ACME INVESTMENTS LTD,A cme Investments Ltd NEW YORK NY 10003
G003,ACME TRADING LTD,ACME TRADING LTD
G006,BANK OF CYPRUS,BANK OF CYPRUS SINGAPORE SGP
G007,GLOBAL METALS SA,GLOBAL METALS SA SINGAPORE SGP
G006,BANK OF CYPRUS,BANK OF CYPRUS
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD
G017,REDWOOD PARTNERS LLC,REDWOOD PA RTNERS LLC ROAD TOWN TORTOLA VG
G018,PACIFIC TRUST INC,Pacific Trust Inc ROAD TOWN TORTOLA VG
G005,TYCHO FEEDER FUND INC,TYCHO FEEDER FUND INC
G008,NORTH SEA SHIPPING BV,NORTH SEA SHIPPING BV NEW YORK NY 10003
G016,GLOBAL HOLDINGS LTD,GLOBAL HOLDINGS LTD NEW YORK NY 10003
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD ZURICH CHE
G017,REDWOOD PARTNERS LLC,REDWOOD PARTNERS LLC LONDON UNITED KINGDOM
G003,ACME TRADING LTD,ACME TRADING LTD LOS ANGELES CA 90210
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD SINGAPORE SGP
G003,ACME TRADING LTD,ACME TRADING LTD
G012,JOHN DOE,John Doe ZURICH CHE
G004,ACME TRUST INC,ACME TRUST INC LOS ANGELES CA 90210
G001,ACME INVESTMENTS LTD,A CME INVESTMENTS LTD
G001,ACME INVESTMENTS LTD,Acme Investments Ltd ZURICH CHE
G012,JOHN DOE,John Doe
G012,JOHN DOE,JOHN DOE ZURICH CHE
G004,ACME TRUST INC,ACME TRUST INC ROAD TOWN TORTOLA VG
G009,HARBOR ADVISORS LP,HA RBOR A DVISORS LP ROAD TOWN TORTOLA VG
G001,ACME INVESTMENTS LTD,A cme Investments Ltd SINGAPORE SGP
G001,ACME INVESTMENTS LTD,A CME INVESTMENTS LTD ROAD TOWN TORTOLA VG
G004,ACME TRUST INC,ACME TRUST INC
G004,ACME TRUST INC,ACME TRUST INC LOS ANGELES CA 90210
G003,ACME TRADING LTD,ACME TRADING LTD SINGAPORE SGP
G011,ALPHA TRUST FBO JANE DOE,A LPHA TRUST FBO JA NE DOE SINGAPORE SGP
G001,ACME INVESTMENTS LTD,Acme Investments Ltd SINGAPORE SGP
G001,ACME INVESTMENTS LTD,Acme Investments Ltd ZURICH CHE
G006,BANK OF CYPRUS,BA NK OF CYPRUS LOS ANGELES CA 90210
G004,ACME TRUST INC,ACME TRUST INC LOS ANGELES CA 90210
G009,HARBOR ADVISORS LP,HA RBOR A DVISORS LP LONDON UNITED KINGDOM
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD ROAD TOWN TORTOLA VG
G009,HARBOR ADVISORS LP,HA RBOR A DVISORS LP ZURICH CHE
G004,ACME TRUST INC,A cme Trust Inc LONDON UNITED KINGDOM
G008,NORTH SEA SHIPPING BV,North Sea Shipping Bv
G009,HARBOR ADVISORS LP,HARBOR ADVISORS LP SINGAPORE SGP
G003,ACME TRADING LTD,ACME TRADING LTD LOS ANGELES CA 90210
G001,ACME INVESTMENTS LTD,Acme Investments Ltd LONDON UNITED KINGDOM
G007,GLOBAL METALS SA,GLOBA L META LS SA ROAD TOWN TORTOLA VG
G018,PACIFIC TRUST INC,PACIFIC TRUST INC ZURICH CHE
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD NEW YORK NY 10003
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD SINGAPORE SGP
G003,ACME TRADING LTD,Acme Trading Ltd ROAD TOWN TORTOLA VG
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD
G001,ACME INVESTMENTS LTD,A CME INVESTMENTS LTD LOS ANGELES CA 90210
G006,BANK OF CYPRUS,BA NK OF CYPRUS ZURICH CHE
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD LOS ANGELES CA 90210
G003,ACME TRADING LTD,A CME TRA DING LTD ROAD TOWN TORTOLA VG
G004,ACME TRUST INC,A CME TRUST INC ZURICH CHE
G017,REDWOOD PARTNERS LLC,Redwood Partners Llc SINGAPORE SGP
G001,ACME INVESTMENTS LTD,A CME INVESTMENTS LTD
G004,ACME TRUST INC,ACME TRUST INC ZURICH CHE
G003,ACME TRADING LTD,ACME TRADING LTD SINGAPORE SGP
G003,ACME TRADING LTD,A cme Trading Ltd LONDON UNITED KINGDOM
G005,TYCHO FEEDER FUND INC,Tycho Feeder Fund Inc SINGAPORE SGP
G017,REDWOOD PARTNERS LLC,Redwood Partners Llc ZURICH CHE
G003,ACME TRADING LTD,A cme Trading Ltd SINGAPORE SGP
G001,ACME INVESTMENTS LTD,A cme Investments Ltd SINGAPORE SGP
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD
G003,ACME TRADING LTD,ACME TRADING LTD ROAD TOWN TORTOLA VG
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD SINGAPORE SGP
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD ROAD TOWN TORTOLA VG
G007,GLOBAL METALS SA,GLOBA L META LS SA SINGAPORE SGP
G004,ACME TRUST INC,ACME TRUST INC
G007,GLOBAL METALS SA,Global Metals Sa LONDON UNITED KINGDOM
G005,TYCHO FEEDER FUND INC,TYCHO FEEDER FUND INC
G003,ACME TRADING LTD,ACME TRADING LTD SINGAPORE SGP
G001,ACME INVESTMENTS LTD,Acme Investments Ltd NEW YORK NY 10003
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD NEW YORK NY 10003
G008,NORTH SEA SHIPPING BV,NORTH SEA SHIPPING BV NEW YORK NY 10003
G007,GLOBAL METALS SA,GLOBAL METALS SA ROAD TOWN TORTOLA VG
G005,TYCHO FEEDER FUND INC,TYCHO FEEDER FUND INC
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD
G003,ACME TRADING LTD,ACME TRADING LTD ROAD TOWN TORTOLA VG
G004,ACME TRUST INC,ACME TRUST INC
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD ZURICH CHE
G004,ACME TRUST INC,ACME TRUST INC
G001,ACME INVESTMENTS LTD,Acme Investments Ltd ROAD TOWN TORTOLA VG
G005,TYCHO FEEDER FUND INC,TYCHO FEEDER FUND INC SINGAPORE SGP
G003,ACME TRADING LTD,A cme Trading Ltd SINGAPORE SGP
G011,ALPHA TRUST FBO JANE DOE,ALPHA TRUST FBO JANE DOE NEW YORK NY 10003
G001,ACME INVESTMENTS LTD,A cme Investments Ltd SINGAPORE SGP
G001,ACME INVESTMENTS LTD,Acme Investments Ltd LONDON UNITED KINGDOM
G008,NORTH SEA SHIPPING BV,NORTH SEA SHIPPING BV LOS ANGELES CA 90210
G009,HARBOR ADVISORS LP,HARBOR ADVISORS LP
G007,GLOBAL METALS SA,GLOBAL METALS SA
G006,BANK OF CYPRUS,BANK OF CYPRUS ROAD TOWN TORTOLA VG
G007,GLOBAL METALS SA,Global Metals Sa SINGAPORE SGP
G004,ACME TRUST INC,ACME TRUST INC
G006,BANK OF CYPRUS,BANK OF CYPRUS LOS ANGELES CA 90210
G004,ACME TRUST INC,A CME TRUST INC ROAD TOWN TORTOLA VG
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD SINGAPORE SGP
G001,ACME INVESTMENTS LTD,A CME INVESTMENTS LTD ZURICH CHE
G003,ACME TRADING LTD,ACME TRADING LTD LOS ANGELES CA 90210
G001,ACME INVESTMENTS LTD,A cme Investments Ltd
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD LONDON UNITED KINGDOM
G001,ACME INVESTMENTS LTD,Acme Investments Ltd NEW YORK NY 10003
G003,ACME TRADING LTD,ACME TRADING LTD
G003,ACME TRADING LTD,ACME TRADING LTD
G005,TYCHO FEEDER FUND INC,Tycho Feeder Fund Inc SINGAPORE SGP
G016,GLOBAL HOLDINGS LTD,Global Holdings Ltd
G008,NORTH SEA SHIPPING BV,NORTH SEA SHIPPING BV SINGAPORE SGP
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD NEW YORK NY 10003
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD ROAD TOWN TORTOLA VG
G001,ACME INVESTMENTS LTD,A CME INVESTMENTS LTD LOS ANGELES CA 90210
G008,NORTH SEA SHIPPING BV,NORTH SEA SHIPPING BV NEW YORK NY 10003
G019,EASTERN MERCHANTS PTE LTD,EASTERN MERCHANTS PTE LTD SINGAPORE SGP
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD LONDON UNITED KINGDOM
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD NEW YORK NY 10003
G016,GLOBAL HOLDINGS LTD,GLOBAL HOLDINGS LTD
G006,BANK OF CYPRUS,Bank Of Cyprus SINGAPORE SGP
G003,ACME TRADING LTD,Acme Trading Ltd
G009,HARBOR ADVISORS LP,Harbor A dvisors Lp
G009,HARBOR ADVISORS LP,HA RBOR A DVISORS LP SINGAPORE SGP
G016,GLOBAL HOLDINGS LTD,Global Holdings Ltd ROAD TOWN TORTOLA VG
G007,GLOBAL METALS SA,GLOBAL METALS SA NEW YORK NY 10003
G001,ACME INVESTMENTS LTD,Acme Investments Ltd
G004,ACME TRUST INC,Acme Trust Inc SINGAPORE SGP
G001,ACME INVESTMENTS LTD,A CME INVESTMENTS LTD ROAD TOWN TORTOLA VG
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD LONDON UNITED KINGDOM
G008,NORTH SEA SHIPPING BV,NORTH SEA SHIPPING BV
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD SINGAPORE SGP
G011,ALPHA TRUST FBO JANE DOE,A lpha Trust Fbo Jane Doe ROAD TOWN TORTOLA VG
G006,BANK OF CYPRUS,Bank Of Cyprus
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD NEW YORK NY 10003
G006,BANK OF CYPRUS,BANK OF CYPRUS NEW YORK NY 10003
G004,ACME TRUST INC,A CME TRUST INC LONDON UNITED KINGDOM
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD LONDON UNITED KINGDOM
G001,ACME INVESTMENTS LTD,A cme Investments Ltd
G018,PACIFIC TRUST INC,PACIFIC TRUST INC NEW YORK NY 10003
G006,BANK OF CYPRUS,Bank Of Cyprus
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD SINGAPORE SGP
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD NEW YORK NY 10003
G009,HARBOR ADVISORS LP,HA RBOR A DVISORS LP ROAD TOWN TORTOLA VG
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD SINGAPORE SGP
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD LOS ANGELES CA 90210
G012,JOHN DOE,JOHN DOE LOS ANGELES CA 90210
G001,ACME INVESTMENTS LTD,A CME INVESTMENTS LTD SINGAPORE SGP
G008,NORTH SEA SHIPPING BV,NORTH SEA SHIPPING BV SINGAPORE SGP
G012,JOHN DOE,John Doe SINGAPORE SGP
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD SINGAPORE SGP
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD ROAD TOWN TORTOLA VG
G004,ACME TRUST INC,ACME TRUST INC SINGAPORE SGP
G003,ACME TRADING LTD,Acme Trading Ltd NEW YORK NY 10003
G006,BANK OF CYPRUS,BA NK OF CYPRUS NEW YORK NY 10003
G004,ACME TRUST INC,ACME TRUST INC
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD
G001,ACME INVESTMENTS LTD,Acme Investments Ltd LOS ANGELES CA 90210
G004,ACME TRUST INC,ACME TRUST INC
G006,BANK OF CYPRUS,BANK OF CYPRUS
G004,ACME TRUST INC,Acme Trust Inc SINGAPORE SGP
G018,PACIFIC TRUST INC,Pacific Trust Inc LOS ANGELES CA 90210
G004,ACME TRUST INC,ACME TRUST INC
G003,ACME TRADING LTD,ACME TRADING LTD ZURICH CHE
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD LOS ANGELES CA 90210
G008,NORTH SEA SHIPPING BV,North Sea Shipping Bv
G011,ALPHA TRUST FBO JANE DOE,ALPHA TRUST FBO JANE DOE ZURICH CHE
G007,GLOBAL METALS SA,Global Metals Sa
G007,GLOBAL METALS SA,GLOBA L META LS SA NEW YORK NY 10003
G003,ACME TRADING LTD,ACME TRADING LTD LONDON UNITED KINGDOM
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD SINGAPORE SGP
G004,ACME TRUST INC,ACME TRUST INC SINGAPORE SGP
G003,ACME TRADING LTD,ACME TRADING LTD
G001,ACME INVESTMENTS LTD,Acme Investments Ltd
G011,ALPHA TRUST FBO JANE DOE,ALPHA TRUST FBO JANE DOE
G003,ACME TRADING LTD,ACME TRADING LTD ROAD TOWN TORTOLA VG
G011,ALPHA TRUST FBO JANE DOE,A LPHA TRUST FBO JA NE DOE ZURICH CHE
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD NEW YORK NY 10003
G006,BANK OF CYPRUS,BANK OF CYPRUS
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD
G003,ACME TRADING LTD,ACME TRADING LTD ZURICH CHE
G012,JOHN DOE,JOHN DOE
G006,BANK OF CYPRUS,Bank Of Cyprus
G001,ACME INVESTMENTS LTD,A CME INVESTMENTS LTD ROAD TOWN TORTOLA VG
G012,JOHN DOE,JOHN DOE ROAD TOWN TORTOLA VG
G001,ACME INVESTMENTS LTD,A cme Investments Ltd
G009,HARBOR ADVISORS LP,HARBOR ADVISORS LP LOS ANGELES CA 90210
G004,ACME TRUST INC,A CME TRUST INC LOS ANGELES CA 90210
G004,ACME TRUST INC,ACME TRUST INC ROAD TOWN TORTOLA VG
G001,ACME INVESTMENTS LTD,A CME INVESTMENTS LTD SINGAPORE SGP
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD LONDON UNITED KINGDOM
G001,ACME INVESTMENTS LTD,A cme Investments Ltd LOS ANGELES CA 90210
G006,BANK OF CYPRUS,BANK OF CYPRUS ROAD TOWN TORTOLA VG
G001,ACME INVESTMENTS LTD,A CME INVESTMENTS LTD NEW YORK NY 10003
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD ROAD TOWN TORTOLA VG
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD
G016,GLOBAL HOLDINGS LTD,GLOBA L HOLDINGS LTD
G009,HARBOR ADVISORS LP,Harbor Advisors Lp SINGAPORE SGP
G001,ACME INVESTMENTS LTD,Acme Investments Ltd NEW YORK NY 10003
G004,ACME TRUST INC,ACME TRUST INC SINGAPORE SGP
G006,BANK OF CYPRUS,Bank Of Cyprus ZURICH CHE
G004,ACME TRUST INC,ACME TRUST INC ROAD TOWN TORTOLA VG
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD
G003,ACME TRADING LTD,ACME TRADING LTD SINGAPORE SGP
G004,ACME TRUST INC,Acme Trust Inc NEW YORK NY 10003
G008,NORTH SEA SHIPPING BV,NORTH SEA SHIPPING BV SINGAPORE SGP
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD LOS ANGELES CA 90210
G017,REDWOOD PARTNERS LLC,REDWOOD PARTNERS LLC
G001,ACME INVESTMENTS LTD,A CME INVESTMENTS LTD ROAD TOWN TORTOLA VG
G001,ACME INVESTMENTS LTD,A CME INVESTMENTS LTD NEW YORK NY 10003
G001,ACME INVESTMENTS LTD,Acme Investments Ltd LOS ANGELES CA 90210
G003,ACME TRADING LTD,ACME TRADING LTD
G005,TYCHO FEEDER FUND INC,TYCHO FEEDER FUND INC
G008,NORTH SEA SHIPPING BV,NORTH SEA SHIPPING BV
G008,NORTH SEA SHIPPING BV,North Sea Shipping Bv ROAD TOWN TORTOLA VG
G001,ACME INVESTMENTS LTD,A CME INVESTMENTS LTD LONDON UNITED KINGDOM
G004,ACME TRUST INC,A CME TRUST INC LONDON UNITED KINGDOM
G003,ACME TRADING LTD,ACME TRADING LTD SINGAPORE SGP
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD LOS ANGELES CA 90210
G008,NORTH SEA SHIPPING BV,NORTH SEA SHIPPING BV ROAD TOWN TORTOLA VG
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD SINGAPORE SGP
G005,TYCHO FEEDER FUND INC,TYCHO FEEDER FUND INC LONDON UNITED KINGDOM
G001,ACME INVESTMENTS LTD,A CME INVESTMENTS LTD SINGAPORE SGP
G001,ACME INVESTMENTS LTD,A cme Investments Ltd NEW YORK NY 10003
G003,ACME TRADING LTD,ACME TRADING LTD SINGAPORE SGP
G019,EASTERN MERCHANTS PTE LTD,EASTERN MERCHANTS PTE LTD
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD SINGAPORE SGP
G004,ACME TRUST INC,ACME TRUST INC
G001,ACME INVESTMENTS LTD,A CME INVESTMENTS LTD NEW YORK NY 10003
G019,EASTERN MERCHANTS PTE LTD,EASTERN MERCHANTS PTE LTD
G005,TYCHO FEEDER FUND INC,TYCHO FEEDER FUND INC
G008,NORTH SEA SHIPPING BV,NORTH SEA SHIPPING BV
G004,ACME TRUST INC,ACME TRUST INC LONDON UNITED KINGDOM
G007,GLOBAL METALS SA,GLOBAL METALS SA ROAD TOWN TORTOLA VG
G007,GLOBAL METALS SA,GLOBAL METALS SA LOS ANGELES CA 90210
G008,NORTH SEA SHIPPING BV,NORTH SEA SHIPPING BV LOS ANGELES CA 90210
G004,ACME TRUST INC,ACME TRUST INC SINGAPORE SGP
G001,ACME INVESTMENTS LTD,Acme Investments Ltd NEW YORK NY 10003
G007,GLOBAL METALS SA,GLOBAL METALS SA LOS ANGELES CA 90210
G004,ACME TRUST INC,ACME TRUST INC LONDON UNITED KINGDOM
G008,NORTH SEA SHIPPING BV,NORTH SEA SHIPPING BV SINGAPORE SGP
G003,ACME TRADING LTD,ACME TRADING LTD NEW YORK NY 10003
G019,EASTERN MERCHANTS PTE LTD,EA STERN MERCHA NTS PTE LTD
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD
G011,ALPHA TRUST FBO JANE DOE,A lpha Trust Fbo Jane Doe
G011,ALPHA TRUST FBO JANE DOE,A LPHA TRUST FBO JA NE DOE LONDON UNITED KINGDOM
G004,ACME TRUST INC,ACME TRUST INC ROAD TOWN TORTOLA VG
G011,ALPHA TRUST FBO JANE DOE,ALPHA TRUST FBO JANE DOE ROAD TOWN TORTOLA VG
G001,ACME INVESTMENTS LTD,A CME INVESTMENTS LTD ROAD TOWN TORTOLA VG
G004,ACME TRUST INC,Acme Trust Inc
G019,EASTERN MERCHANTS PTE LTD,EASTERN MERCHANTS PTE LTD
G019,EASTERN MERCHANTS PTE LTD,EA STERN MERCHA NTS PTE LTD
G011,ALPHA TRUST FBO JANE DOE,ALPHA TRUST FBO JANE DOE ROAD TOWN TORTOLA VG
G017,REDWOOD PARTNERS LLC,REDWOOD PARTNERS LLC
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD NEW YORK NY 10003
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD
G003,ACME TRADING LTD,Acme Trading Ltd SINGAPORE SGP
G007,GLOBAL METALS SA,GLOBAL METALS SA NEW YORK NY 10003
G001,ACME INVESTMENTS LTD,Acme Investments Ltd
G001,ACME INVESTMENTS LTD,A CME INVESTMENTS LTD NEW YORK NY 10003
G008,NORTH SEA SHIPPING BV,North Sea Shipping Bv SINGAPORE SGP
G004,ACME TRUST INC,ACME TRUST INC ROAD TOWN TORTOLA VG
G019,EASTERN MERCHANTS PTE LTD,EASTERN MERCHANTS PTE LTD NEW YORK NY 10003
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD LONDON UNITED KINGDOM
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD NEW YORK NY 10003
G001,ACME INVESTMENTS LTD,Acme Investments Ltd LOS ANGELES CA 90210
G001,ACME INVESTMENTS LTD,A cme Investments Ltd LONDON UNITED KINGDOM
G004,ACME TRUST INC,ACME TRUST INC LOS ANGELES CA 90210
G003,ACME TRADING LTD,A CME TRA DING LTD ZURICH CHE
G006,BANK OF CYPRUS,Bank Of Cyprus NEW YORK NY 10003
G004,ACME TRUST INC,A CME TRUST INC LOS ANGELES CA 90210
G009,HARBOR ADVISORS LP,HA RBOR A DVISORS LP ZURICH CHE
G003,ACME TRADING LTD,Acme Trading Ltd SINGAPORE SGP
G004,ACME TRUST INC,Acme Trust Inc LONDON UNITED KINGDOM
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD
G005,TYCHO FEEDER FUND INC,TYCHO FEEDER FUND INC ZURICH CHE
G001,ACME INVESTMENTS LTD,Acme Investments Ltd ZURICH CHE
G012,JOHN DOE,John Doe
G004,ACME TRUST INC,A cme Trust Inc
G009,HARBOR ADVISORS LP,Harbor Advisors Lp SINGAPORE SGP
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD
G001,ACME INVESTMENTS LTD,Acme Investments Ltd LONDON UNITED KINGDOM
G004,ACME TRUST INC,ACME TRUST INC SINGAPORE SGP
G004,ACME TRUST INC,ACME TRUST INC
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD ROAD TOWN TORTOLA VG
G017,REDWOOD PARTNERS LLC,REDWOOD PARTNERS LLC
G001,ACME INVESTMENTS LTD,A CME INVESTMENTS LTD
G006,BANK OF CYPRUS,Bank Of Cyprus
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD
G003,ACME TRADING LTD,A CME TRA DING LTD SINGAPORE SGP
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD NEW YORK NY 10003
G001,ACME INVESTMENTS LTD,Acme Investments Ltd ROAD TOWN TORTOLA VG
G003,ACME TRADING LTD,ACME TRADING LTD LOS ANGELES CA 90210
G006,BANK OF CYPRUS,BA NK OF CYPRUS ZURICH CHE
G007,GLOBAL METALS SA,GLOBAL METALS SA
G003,ACME TRADING LTD,A CME TRA DING LTD ZURICH CHE
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD LOS ANGELES CA 90210
G008,NORTH SEA SHIPPING BV,NORTH SEA SHIPPING BV
G016,GLOBAL HOLDINGS LTD,GLOBAL HOLDINGS LTD
G009,HARBOR ADVISORS LP,HA RBOR A DVISORS LP ZURICH CHE
G004,ACME TRUST INC,ACME TRUST INC ROAD TOWN TORTOLA VG
G008,NORTH SEA SHIPPING BV,NORTH SEA SHIPPING BV
G003,ACME TRADING LTD,ACME TRADING LTD LONDON UNITED KINGDOM
G001,ACME INVESTMENTS LTD,A cme Investments Ltd
G009,HARBOR ADVISORS LP,HARBOR ADVISORS LP ZURICH CHE
G004,ACME TRUST INC,A CME TRUST INC LONDON UNITED KINGDOM
